Degree,Laser Distance,Intensity,Error,Actual Distance
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
1,-492.0,0,8035,5950
